,Time,Winv,VAinv
0,21.10117745399475,-2499.98,2539.27
1,23.360797882080078,-2510.02,2526.95
2,24.616069793701172,-2512.43,2518.39
3,31.646998405456543,-2508.13,2529.21
4,39.68151140213013,-2492.6,2530.56
5,56.002431869506836,-2512.23,2528.74
6,56.25383710861206,-2512.23,2528.74
7,64.28857135772705,-2514.8,2516.78
8,70.31491208076477,-2511.36,2515.6
9,70.56631517410278,-2511.36,2515.6
10,78.34967231750488,-2494.65,2518.89
11,78.60077452659607,-2494.65,2518.89
12,81.3631694316864,-2491.62,2534.98
13,115.51266932487488,-2494.19,2541.65
14,126.81177568435669,-2506.15,2550.61
15,128.82049894332886,-2501.15,2526.32
16,130.829345703125,-2506.85,2530.42
17,137.1067419052124,-2520.71,2527.42
18,156.69216203689575,-2490.58,2535.36
19,167.23823142051697,-2515.93,2534.16
20,172.2599902153015,-2517.22,2520.39
21,188.8318874835968,-2493.47,2526.2
22,203.1445279121399,-2508.45,2525.81
23,203.64669561386108,-2508.26,2512.29
24,245.0772728919983,-2516.24,2518.57
25,254.11628484725952,-2503.76,2498.96
26,259.3892195224762,-2498.93,2512.46
27,268.42879724502563,-2494.37,2540.83
28,271.19107127189636,-2495.17,2539.35
29,273.9530146121979,-2504.15,2536.27
30,279.9792869091034,-2511.45,2520.66
31,284.74986958503723,-2519.62,2526.84
32,313.87687373161316,-2510.01,2531.21
33,328.6916332244873,-2500.54,2505.65
34,330.7004728317261,-2495.56,2518.94
35,332.70938086509705,-2493.86,2523.84
36,333.462473154068,-2495.62,2533.13
37,334.71786856651306,-2490.28,2510.8
38,338.4841318130493,-2490.53,2541.83
39,341.99956345558167,-2495.0,2551.8
40,343.5063591003418,-2496.49,2539.42
41,345.26373982429504,-2501.41,2555.04
42,349.53237867355347,-2504.54,2517.55
43,360.07811999320984,-2512.59,2495.63
44,364.8490979671478,-2509.33,2511.25
45,398.9982006549835,-2511.2,2507.29
46,412.80797123908997,-2489.99,2541.76
47,418.08097290992737,-2499.16,2552.24
48,420.5920033454895,-2501.51,2531.27
49,433.9003677368164,-2517.87,2525.72
50,452.7321574687958,-2492.75,2553.25
51,480.35252594947815,-2492.81,2517.55
52,493.4094178676605,-2499.24,2520.12
53,497.6784579753876,-2505.47,2512.77
54,498.18042063713074,-2505.47,2512.77
55,512.2416906356812,-2499.79,2505.18
56,531.0740265846252,-2502.51,2538.0
57,537.8534801006317,-2507.6,2511.22
58,539.8622677326202,-2512.67,2510.21
59,543.1264786720276,-2514.33,2513.67
60,566.4781861305237,-2497.35,2526.94
61,583.3018355369568,-2507.08,2506.31
62,589.0777673721313,-2491.62,2503.92
63,591.588889837265,-2487.88,2522.99
64,592.5930967330933,-2484.09,2511.16
65,594.0999095439911,-2491.29,2545.19
66,595.6063554286957,-2492.17,2541.22
67,607.1565811634064,-2506.29,2520.2
68,642.3100476264954,-2504.66,2532.66
69,642.8124659061432,-2504.66,2532.66
70,658.3800227642059,-2504.51,2518.79
71,663.4023144245148,-2498.01,2517.52
72,666.4149701595306,-2500.26,2545.98
73,670.1815164089203,-2492.84,2526.55
74,690.7714488506317,-2513.9,2519.76
75,691.7758853435516,-2514.85,2520.77
76,713.8733501434326,-2501.1,2539.89
77,726.9302916526794,-2512.2,2496.12
78,744.5073924064636,-2487.74,2536.33
79,746.2650005817413,-2496.96,2533.19
80,766.1017079353333,-2506.57,2531.3
81,767.8592007160187,-2501.15,2521.3
82,775.3918886184692,-2491.47,2539.16
83,782.6735591888428,-2495.91,2532.55
84,786.1888697147369,-2502.61,2521.8
85,813.0578243732452,-2489.58,2526.52
86,816.3216335773468,-2496.01,2526.38
87,818.3303968906403,-2499.02,2530.53
88,818.8330719470978,-2499.02,2530.53
89,822.3481941223145,-2509.33,2533.82
90,833.8983631134033,-2509.15,2515.11
91,843.1890976428986,-2497.15,2548.39
92,848.96435546875,-2489.22,2542.18
93,853.9862418174744,-2495.37,2544.27
94,856.2458264827728,-2501.34,2544.57
95,860.5143468379974,-2508.49,2523.39
96,866.0385978221893,-2515.48,2508.27
97,881.1046419143677,-2493.02,2533.06
