,Time,Winv,VAinv
0,14.58191704750061,-2486.54,2529.94
1,20.106446981430054,-2492.4,2535.83
2,20.35749840736389,-2492.4,2535.83
3,39.692785024642944,-2516.44,2511.84
4,41.45062279701233,-2514.46,2517.56
5,47.72791814804077,-2495.76,2506.62
6,62.040483474731445,-2510.5,2547.37
7,63.296295166015625,-2512.74,2541.42
8,70.8289270401001,-2514.02,2497.59
9,72.08452296257019,-2514.46,2512.33
10,75.59986448287964,-2514.97,2516.61
11,79.36629962921143,-2512.7,2529.78
12,82.37943077087402,-2505.07,2520.17
13,87.15059924125671,-2500.58,2545.05
14,89.41038918495178,-2495.86,2539.99
15,90.91713643074036,-2500.07,2544.11
16,98.95248532295227,-2508.68,2526.76
17,108.49422454833984,-2524.09,2528.32
18,114.26934790611267,-2518.1,2509.27
19,115.0225579738617,-2519.59,2534.82
20,143.89918851852417,-2525.05,2523.77
21,145.657062292099,-2528.94,2529.49
22,158.46327090263367,-2493.57,2523.83
23,162.98275637626648,-2496.65,2546.72
24,165.7448127269745,-2498.05,2559.91
25,188.34492230415344,-2510.48,2513.75
26,207.17720866203308,-2498.77,2556.85
27,233.54285287857056,-2505.24,2540.05
28,240.82457327842712,-2504.43,2561.73
29,249.61306381225586,-2514.84,2520.06
30,259.90825867652893,-2519.43,2503.35
31,260.159202337265,-2519.43,2503.35
32,263.42367339134216,-2517.03,2524.67
33,266.4367558956146,-2507.78,2513.5
34,291.54728269577026,-2530.63,2525.16
35,305.8604030609131,-2499.64,2523.92
36,309.1247138977051,-2497.16,2543.38
37,313.8959422111511,-2504.25,2565.52
38,333.23056983947754,-2513.79,2511.82
39,333.48195242881775,-2513.79,2511.82
40,359.84712529182434,-2514.44,2519.99
41,368.1332457065582,-2521.04,2511.89
42,373.6573860645294,-2509.51,2524.94
43,382.9481246471405,-2500.97,2541.85
44,393.24355387687683,-2508.09,2530.39
45,396.25705552101135,-2516.07,2526.69
46,402.5340476036072,-2529.76,2528.35
47,406.55179023742676,-2522.99,2512.94
48,422.1197757720947,-2493.85,2545.27
49,433.1686384677887,-2515.61,2533.06
50,447.2299280166626,-2513.98,2528.24
51,447.7320122718811,-2511.53,2513.89
52,449.7408332824707,-2499.3,2510.78
53,451.2474637031555,-2497.93,2523.72
54,469.5776882171631,-2520.53,2539.36
55,472.5912253856659,-2522.67,2522.96
56,487.4057123661041,-2502.93,2513.91
57,498.45436000823975,-2498.91,2546.27
58,499.96085381507874,-2500.04,2538.82
59,508.24717259407043,-2521.83,2520.98
60,516.7845785617828,-2515.48,2528.88
61,524.0668087005615,-2501.61,2530.2
62,526.0752980709076,-2501.43,2534.82
63,530.8463230133057,-2498.03,2543.89
64,539.8867719173431,-2514.17,2544.43
65,542.6492664813995,-2514.07,2521.94
66,544.1554162502289,-2517.02,2527.05
67,547.671199798584,-2519.99,2516.72
68,559.4723746776581,-2509.77,2525.09
69,566.0003271102905,-2494.83,2532.56
70,571.0218756198883,-2498.42,2541.44
71,582.5714428424835,-2521.78,2525.96
72,583.3249173164368,-2523.11,2519.46
73,586.8395733833313,-2525.29,2515.92
74,617.2197635173798,-2518.74,2530.06
75,618.2239830493927,-2517.57,2527.89
76,622.9944031238556,-2520.88,2513.07
77,623.4966089725494,-2519.85,2516.24
78,624.5010726451874,-2518.74,2517.65
79,626.2586262226105,-2518.26,2515.83
80,641.3233549594879,-2500.25,2552.41
81,662.6647861003876,-2521.95,2518.92
82,666.1801178455353,-2518.37,2523.18
83,668.9417793750763,-2512.53,2520.71
84,669.1927609443665,-2512.53,2520.71
85,690.786050081253,-2514.96,2520.04
86,692.0411174297333,-2520.06,2535.24
87,692.7946131229401,-2520.78,2518.22
88,699.0713498592377,-2524.6,2509.12
89,705.3485498428345,-2514.52,2542.57
90,711.3741466999054,-2503.0,2545.32
91,714.6383619308472,-2496.26,2546.76
92,721.6684432029724,-2507.58,2542.7
93,745.5210299491882,-2506.44,2528.07
94,748.5342178344727,-2500.57,2525.07
95,765.357186794281,-2523.8,2534.14
96,772.3874096870422,-2512.64,2527.57
97,775.902360200882,-2500.9,2504.39
98,776.1534602642059,-2500.9,2504.39
99,783.9371984004974,-2498.9,2540.94
100,792.2228362560272,-2511.22,2536.44
101,807.7898771762848,-2520.61,2507.12
102,808.0411448478699,-2516.46,2500.67
103,819.0888659954071,-2503.12,2544.17
104,820.3444638252258,-2498.95,2533.75
105,825.3661148548126,-2509.91,2551.26
106,837.9202482700348,-2523.16,2528.84
107,842.439760684967,-2519.24,2517.93
108,849.7211964130402,-2510.76,2522.46
109,879.6004009246826,-2516.36,2524.72
110,881.3577053546906,-2513.77,2516.91
111,886.6303770542145,-2499.75,2520.46
