,Time,Vin,Iin,Fin
0,0.0017921924591064453,0.0,0.0,0.0
1,0.0030853748321533203,0.0,0.0,0.0
2,31.93554711341858,119.5,21.0,59.78
3,69.09851551055908,119.3,21.2,60.19
4,70.10309171676636,119.4,21.4,60.24
5,91.94878625869751,119.6,21.2,60.0
6,93.9573745727539,119.6,21.1,59.93
7,125.59620404243469,119.5,21.1,60.08
8,132.87817454338074,119.4,20.9,60.07
9,161.0723841190338,119.6,21.2,60.04
10,246.465411901474,119.5,21.0,60.28
11,292.7146751880646,119.5,21.2,60.28
12,380.85254883766174,119.5,21.1,60.09
13,384.11740136146545,119.5,21.1,59.74
14,589.9751563072205,119.4,21.3,59.92
15,617.3427042961121,119.5,21.0,59.77
16,703.9702603816986,119.4,21.3,59.85
17,746.7356293201447,119.5,21.1,60.26
18,769.3349533081055,119.5,21.4,59.89
19,812.5267558097839,119.5,21.1,59.96
20,938.8161811828613,119.4,21.1,60.12
21,972.7106111049652,119.4,21.1,59.7
22,1005.3526148796082,119.5,21.0,60.3
23,1113.8260271549225,119.5,21.0,60.01
24,1127.3847651481628,119.3,21.0,60.22
25,1144.2093348503113,119.5,21.4,60.05
26,1160.53076171875,119.3,20.9,60.08
27,1172.0809664726257,119.5,21.3,60.14
28,1254.9432525634766,119.5,21.2,59.75
29,1302.4018890857697,119.5,21.1,60.19
30,1314.4547040462494,119.3,21.1,59.9
31,1353.8814165592194,119.5,21.2,59.89
32,1368.4467062950134,119.5,21.0,59.69
33,1401.8469913005829,119.5,21.0,59.96
34,1453.0775799751282,119.6,21.1,60.05
35,1458.3513042926788,119.7,21.0,60.25
36,1480.701420545578,119.6,21.1,59.85
37,1523.8941645622253,119.5,21.1,59.8
38,1578.135926246643,119.5,21.2,60.04
39,1580.6469383239746,119.5,21.4,60.16
40,1710.2214443683624,119.4,21.1,60.18
41,1767.977017879486,119.4,21.2,60.18
42,1796.1009912490845,119.5,21.2,60.06
43,1816.4419951438904,119.4,21.0,59.73
44,1828.2440733909607,119.4,21.2,60.04
45,1833.5174508094788,119.5,21.2,60.08
46,1856.368091583252,119.5,21.2,60.07
47,1905.836594581604,119.5,21.4,59.87
48,1910.1051313877106,119.5,21.2,59.98
49,1919.3961899280548,119.4,21.1,59.81
50,2001.5082235336304,119.5,21.0,59.86
51,2035.6596887111664,119.5,21.1,60.21
52,2059.2636222839355,119.5,21.0,59.87
53,2115.5113248825073,119.4,21.2,60.27
54,2127.313360452652,119.5,21.2,60.19
55,2292.79195189476,119.4,21.1,60.17
56,2311.3736295700073,119.5,21.1,60.13
57,2346.2775015830994,119.4,21.3,60.13
58,2354.8149552345276,119.5,21.0,59.83
59,2356.0705094337463,119.4,21.1,60.1
60,2389.9689757823944,119.5,21.0,60.11
61,2467.05730843544,119.5,21.4,59.76
62,2489.656465291977,119.4,21.2,60.1
63,2525.5640676021576,119.5,21.2,59.81
64,2527.572998523712,119.4,21.0,60.18
65,2576.7887876033783,119.5,21.1,59.96
66,2581.0575757026672,119.5,21.2,60.08
67,2633.28680562973,119.5,21.4,59.96
68,2642.5776109695435,119.5,21.1,59.98
69,2667.939069509506,119.4,21.3,60.07
70,2673.714430809021,119.4,21.3,59.9
71,2705.8557188510895,119.5,21.3,59.95
72,2706.6088395118713,119.5,21.3,59.95
73,2751.305332660675,119.5,21.0,59.98
74,2919.544485092163,119.4,21.2,60.12
75,2964.9940588474274,119.4,21.3,59.71
76,3020.9899547100067,119.5,21.2,60.08
77,3029.7786185741425,119.5,21.3,59.82
78,3034.549503803253,119.3,21.4,59.89
79,3046.1002316474915,119.3,21.3,59.72
80,3116.4105155467987,119.4,21.0,60.22
81,3205.301462173462,119.6,21.3,59.88
82,3261.046520471573,119.5,21.1,59.88
83,3268.5796954631805,119.6,21.2,60.26
84,3294.6942982673645,119.5,21.2,59.69
85,3380.571705341339,119.5,21.1,59.83
86,3458.1625232696533,119.4,21.2,60.09
87,3487.039569377899,119.4,21.2,60.1
88,3515.414583683014,119.4,21.2,59.77
89,3543.5386757850647,119.4,21.5,59.94
90,3560.1116263866425,119.6,21.1,60.27
91,3574.4246459007263,119.5,21.3,59.81
92,3586.477360010147,119.4,21.3,59.84
