,Time,Win,VAin
0,9.935470342636108,-1.41,61.24
1,10.186593532562256,-1.41,61.24
2,101.5889937877655,1.51,65.29
3,106.61152839660645,-1.22,57.69
4,113.13971304893494,-0.25,57.65
5,146.78734588623047,-0.55,55.94
6,235.42747497558594,1.31,47.92
7,352.1905176639557,2.03,68.2
8,365.49878883361816,4.02,61.26
9,407.9354872703552,-1.14,62.84
10,439.82552576065063,-1.43,61.13
11,445.09878420829773,-1.27,95.4
12,445.3500120639801,-1.27,95.4
13,483.51779794692993,0.59,50.81
14,582.7050592899323,-2.81,55.08
15,655.5252668857574,0.41,46.38
16,659.7939488887787,0.91,51.25
17,670.5913064479828,0.83,69.38
18,694.9485754966736,0.16,52.24
19,791.8711025714874,0.31,55.47
20,879.4982678890228,-0.47,63.33
21,1014.5811100006104,0.0,51.98
22,1060.781917333603,-0.1,56.74
23,1070.8252017498016,-1.46,71.52
24,1078.6090307235718,-1.73,126.61
25,1100.2021794319153,2.13,60.61
26,1110.9988822937012,0.38,79.89
27,1115.7694878578186,1.25,69.97
28,1160.9655694961548,1.06,62.04
29,1168.4980056285858,-0.51,70.16
30,1187.8318798542023,-1.69,55.79
31,1245.5825779438019,0.69,81.06
32,1416.8268554210663,1.4,62.17
33,1428.879497051239,0.28,58.6
34,1470.560851573944,2.19,67.85
35,1471.313984632492,1.86,53.82
36,1501.1944217681885,-2.37,60.96
37,1518.0175943374634,-0.62,86.5
38,1536.3473653793335,0.43,71.2
39,1597.3650150299072,0.28,58.49
40,1598.118726491928,-1.14,69.68
41,1640.8045589923859,-5.4,48.92
42,1673.6983020305634,2.49,102.11
43,1676.4603126049042,1.02,149.13
44,1688.7639725208282,1.68,105.58
45,1746.2653510570526,1.16,67.87
46,1770.8724801540375,0.2,47.12
47,1779.9122366905212,0.12,66.69
48,1782.9254343509674,0.05,93.65
49,1801.7586200237274,-0.71,60.22
50,1809.0402491092682,-1.7,67.67
51,1824.106139421463,-1.31,58.62
52,1868.0482845306396,-2.11,48.58
53,1878.594260931015,-2.36,65.84
54,1915.2545728683472,1.38,64.5
55,1949.6547238826752,-1.73,59.99
56,1967.9852194786072,-0.09,55.96
57,1970.7475838661194,0.14,93.81
58,2068.676443338394,-0.3,64.95
59,2181.42107796669,0.47,47.01
60,2249.4701540470123,-0.92,70.39
61,2260.0158722400665,-2.12,54.39
62,2305.213857650757,-1.78,48.72
63,2363.2182202339172,0.16,61.38
64,2389.8353877067566,-0.52,57.9
65,2419.2139694690704,-0.99,75.8
66,2475.4601628780365,0.58,50.73
67,2488.768793821335,1.07,53.81
68,2494.0416617393494,-3.58,65.89
69,2588.9573912620544,1.1,68.4
70,2604.0233397483826,0.35,53.56
71,2608.543160676956,0.05,54.72
72,2663.534199476242,-0.53,62.54
73,2686.384110927582,-0.03,62.78
74,2721.288247346878,-0.66,54.7
75,2783.058465719223,0.81,56.48
76,2808.6707882881165,-0.99,71.22
77,2813.9436621665955,-0.1,54.36
78,2855.876166820526,0.35,61.31
79,2890.2753784656525,2.05,48.56
80,3064.784323453903,0.59,57.31
81,3090.898102045059,1.91,64.93
82,3194.348813056946,0.61,63.6
83,3298.8048796653748,-0.07,61.48
84,3345.257518053055,0.05,77.59
85,3355.0502824783325,-0.3,56.49
86,3360.825445652008,-2.11,84.8
87,3419.079512119293,-1.56,50.07
88,3421.8416650295258,-1.57,58.27
89,3422.092690706253,-1.57,58.27
90,3425.105744123459,-5.23,101.17
91,3441.678020954132,-1.39,75.28
92,3484.8667080402374,-0.53,47.63
93,3503.196897983551,-3.23,91.02
94,3518.5134830474854,-0.3,70.41
95,3548.89617228508,-0.93,57.5
96,3586.560492515564,1.02,54.04
