,Time,Vin,Iin,Fin
0,6.420431613922119,119.7,21.6,60.14
1,76.4790096282959,119.8,21.5,60.13
2,117.40908527374268,119.8,21.4,59.81
3,137.99932527542114,119.9,21.3,59.91
4,303.9788646697998,119.8,21.4,59.98
5,316.031742811203,119.8,21.3,60.07
6,408.43813157081604,119.7,21.5,59.95
7,416.47385239601135,119.9,21.6,59.76
8,451.87892031669617,119.7,21.5,59.89
9,513.6511220932007,119.7,21.5,60.09
10,573.4148576259613,119.8,21.3,60.26
11,630.9174056053162,119.8,21.4,60.05
12,655.7767951488495,119.8,21.5,59.91
13,749.9405660629272,119.8,21.3,60.2
14,766.7643673419952,119.8,21.3,59.76
15,767.7684946060181,119.8,21.5,59.87
16,859.9136502742767,119.8,21.2,59.82
17,879.4987714290619,119.7,21.3,60.05
18,932.9786360263824,119.7,21.3,59.99
19,968.3823823928833,119.8,21.5,60.15
20,988.9711577892303,119.8,21.4,60.17
21,992.2352628707886,119.9,21.6,59.83
22,1048.4780325889587,119.9,21.2,59.83
23,1104.7222921848297,119.7,21.4,59.91
24,1188.0834481716156,119.8,21.4,59.79
25,1213.9456238746643,119.7,21.5,59.82
26,1241.0634007453918,119.8,21.6,59.96
27,1246.83855676651,119.9,21.6,59.72
28,1261.903841495514,119.9,21.4,59.84
29,1357.5697691440582,119.8,21.5,60.14
30,1396.2378833293915,119.8,21.5,60.02
31,1419.0873198509216,119.8,21.5,60.06
32,1450.9761986732483,119.9,21.2,60.19
33,1451.4782102108002,119.9,21.2,60.19
34,1504.4590711593628,119.8,21.6,60.09
35,1522.5378682613373,119.9,21.3,59.96
36,1548.6523036956787,119.9,21.3,60.16
37,1569.7449877262115,119.7,21.5,60.0
38,1572.2558863162994,119.8,21.6,59.92
39,1662.6505990028381,119.8,21.1,59.91
40,1719.3985679149628,119.8,21.4,59.98
41,1742.2481951713562,119.8,21.3,59.96
42,1834.150601387024,119.8,21.6,59.98
43,1859.2603878974915,119.9,21.4,60.18
44,1874.577218055725,119.9,21.3,60.13
45,1904.7088811397552,119.9,21.4,59.86
46,1966.7300400733948,119.8,21.5,59.98
47,2016.197256565094,119.8,21.5,59.95
48,2159.0736367702484,119.7,21.3,60.23
49,2265.038693189621,119.8,21.5,60.18
50,2353.4259400367737,120.0,21.3,60.04
51,2387.8269217014313,120.0,21.4,60.09
52,2394.104531764984,119.9,21.3,60.27
53,2488.2667577266693,119.9,21.5,59.93
54,2496.5529160499573,119.7,21.3,59.95
55,2581.67596244812,119.8,21.3,60.06
56,2647.7152173519135,119.8,21.3,60.02
57,2726.3103864192963,119.7,21.2,60.16
58,2733.341139316559,119.7,21.5,59.69
59,2743.636581659317,119.9,21.3,59.7
60,2751.420506477356,119.8,21.4,59.88
61,2810.4289648532867,119.9,21.4,59.97
62,2886.007431745529,119.9,21.5,59.79
63,2892.535719394684,119.8,21.5,60.19
64,2909.1074652671814,119.9,21.3,59.84
65,3000.5055060386658,119.9,21.3,59.88
66,3023.6057784557343,119.9,21.2,59.87
67,3058.7589621543884,119.9,21.4,59.89
68,3080.352625608444,119.9,21.4,59.83
69,3093.409309387207,119.9,21.1,59.79
70,3122.5369725227356,119.9,21.2,59.94
71,3143.6283190250397,119.9,21.6,59.83
72,3178.028392314911,119.8,21.6,59.73
73,3258.630519628525,119.9,21.2,60.1
74,3265.6609292030334,119.8,21.2,60.18
75,3279.973490715027,119.8,21.4,59.79
76,3357.0594687461853,119.6,21.3,59.76
77,3385.4332842826843,120.0,21.3,60.1
78,3385.684384584427,120.0,21.3,60.1
79,3452.4756326675415,120.0,21.2,60.04
80,3456.995425224304,119.8,21.3,60.18
81,3473.3166897296906,119.8,21.4,60.09
82,3492.1488060951233,119.9,21.3,59.89
83,3499.932986021042,119.9,21.4,59.77
84,3517.760641336441,119.8,21.3,60.15
85,3518.2627935409546,119.8,21.4,59.94
86,3596.605169773102,119.8,21.2,59.88
