,Time,L1DCDC,L2DCDC,L1Sync,L2Sync
0,9.891306638717651,27.6,27.2,28.0,27.3
1,14.91305685043335,27.7,27.4,28.6,27.8
2,15.91749382019043,27.7,27.5,28.7,27.9
3,18.930546522140503,27.8,27.6,29.0,28.0
4,20.939973831176758,27.8,27.6,29.1,28.3
5,40.02365016937256,28.2,28.1,30.2,29.1
6,42.03242802619934,28.1,28.1,30.4,29.2
7,46.04931306838989,28.2,28.2,30.5,29.4
8,53.08001947402954,28.3,28.3,30.8,29.6
9,75.17598223686218,28.7,28.6,31.6,30.2
10,81.20221614837646,28.8,28.6,31.7,30.3
11,82.20733571052551,28.8,28.7,31.6,30.3
12,99.28248882293701,29.1,29.1,32.0,30.7
13,104.30418586730957,29.2,28.9,32.2,30.7
14,110.330242395401,29.3,29.1,32.3,31.0
15,113.34337282180786,29.3,29.2,32.3,31.1
16,114.34763598442078,29.3,29.2,32.4,31.0
17,116.35638236999512,29.4,29.2,32.5,31.3
18,123.3870632648468,29.5,29.3,32.5,31.3
19,127.40500569343567,29.5,29.4,32.6,31.3
20,138.45260977745056,29.6,29.5,32.7,31.3
21,151.50972175598145,29.9,29.7,32.8,31.9
22,155.5271828174591,30.0,29.8,33.0,31.7
23,162.5583951473236,30.0,29.9,32.9,31.9
24,163.5623664855957,30.0,29.8,33.1,31.8
25,169.58815336227417,30.2,29.9,33.0,32.0
26,173.6057324409485,30.1,30.0,33.1,31.9
27,186.66251635551453,30.3,30.1,33.3,32.1
28,187.66757035255432,30.3,30.1,33.2,32.2
29,191.68442177772522,30.4,30.2,33.2,32.2
30,198.71587300300598,30.4,30.3,33.4,32.3
31,206.75018548965454,30.5,30.4,33.4,32.3
32,214.78527784347534,30.6,30.4,33.5,32.4
33,220.81178641319275,30.7,30.5,33.5,32.5
34,222.82069039344788,30.7,30.5,33.3,32.4
35,233.86854195594788,30.9,30.6,33.5,32.7
36,241.90325140953064,30.9,30.7,33.5,32.7
37,246.92552137374878,31.0,30.8,33.6,32.9
38,249.93843603134155,31.0,30.8,33.6,32.8
39,251.94745421409607,31.0,30.8,33.7,32.7
40,254.96005296707153,31.1,30.9,33.7,32.9
41,269.02139258384705,31.3,31.0,33.9,32.9
42,274.0435757637024,31.3,31.0,33.7,32.9
43,280.07003021240234,31.3,31.1,33.8,33.1
44,284.08708095550537,31.4,31.2,34.0,33.1
45,288.1051573753357,31.4,31.2,33.9,33.1
46,296.13980865478516,31.5,31.2,34.0,33.3
47,301.161509513855,31.5,31.3,34.0,33.3
48,304.17465114593506,31.5,31.3,34.0,33.3
49,313.21441650390625,31.7,31.4,34.1,33.3
50,319.24026441574097,31.7,31.4,34.1,33.5
51,330.28865122795105,31.7,31.5,34.2,33.4
52,331.2929017543793,31.8,31.5,34.1,33.2
53,334.30634903907776,31.8,31.6,34.2,33.5
54,341.3368706703186,31.9,31.6,34.3,33.5
55,389.54687452316284,32.3,32.0,34.6,33.8
56,423.6962983608246,32.6,32.2,34.9,34.1
57,426.70870542526245,32.5,32.2,34.7,34.1
58,429.7221624851227,32.6,32.1,34.7,34.0
59,434.74368953704834,32.6,32.3,34.9,34.2
60,438.7618842124939,32.7,32.3,35.0,34.2
61,441.7744400501251,32.7,32.4,34.9,34.2
62,445.79237365722656,32.7,32.4,34.9,34.2
63,449.8102204799652,32.7,32.4,34.9,34.2
64,451.8184976577759,32.7,32.4,34.9,34.2
65,455.8359580039978,32.8,32.4,34.9,34.3
66,457.84494805336,32.8,32.4,34.9,34.3
67,469.89711475372314,32.9,32.5,35.0,34.3
68,473.9152708053589,32.9,32.6,35.0,34.4
69,487.9758996963501,33.0,32.6,35.2,34.5
70,488.98080492019653,33.0,32.6,35.1,34.4
71,492.99812936782837,33.0,32.6,35.3,34.5
72,518.1073920726776,33.2,32.7,35.3,34.6
73,541.208021402359,33.4,33.0,35.4,34.7
74,545.2257380485535,33.4,33.0,35.4,34.7
75,549.2438266277313,33.4,32.9,35.4,34.8
76,559.2874937057495,33.5,32.9,35.5,34.8
77,567.3221991062164,33.5,33.0,35.6,34.8
78,586.4055907726288,33.6,33.1,35.5,34.8
79,590.4239275455475,33.6,33.1,35.7,34.9
80,613.5247738361359,33.7,33.3,35.7,35.1
81,623.5683000087738,33.8,33.3,35.7,35.0
82,625.5776653289795,33.8,33.3,35.8,35.2
83,631.6036741733551,33.9,33.4,35.7,35.0
84,635.6212358474731,33.8,33.5,35.9,35.2
85,650.6865060329437,34.0,33.5,36.0,35.2
86,653.6997907161713,33.9,33.5,35.8,35.1
87,668.7652916908264,34.1,33.5,35.9,35.3
88,669.770260810852,34.0,33.6,35.9,35.4
89,670.7740302085876,34.0,33.6,36.0,35.3
90,673.7876853942871,34.1,33.7,36.1,35.3
91,676.8006000518799,34.1,33.6,36.0,35.3
92,677.80504155159,34.1,33.6,36.0,35.3
93,684.8363816738129,34.1,33.6,36.1,35.6
94,694.880063533783,34.1,33.7,36.0,35.5
95,695.8837471008301,34.2,33.7,36.2,35.5
96,703.9196684360504,34.2,33.7,36.1,35.5
97,712.9591934680939,34.3,33.8,36.1,35.3
98,717.9811065196991,34.3,33.8,36.1,35.5
99,739.0732865333557,34.4,33.9,36.2,35.5
100,742.0863840579987,34.4,33.8,36.1,35.7
101,752.1305038928986,34.4,33.9,36.4,35.6
102,754.1394670009613,34.5,33.9,36.4,35.9
103,759.1615016460419,34.5,33.9,36.4,35.7
104,768.200973033905,34.5,34.0,36.3,35.6
105,770.2098774909973,34.5,33.9,36.4,35.6
106,789.2928447723389,34.6,34.0,36.5,35.8
107,795.3196194171906,34.7,34.1,36.4,35.9
108,801.3458268642426,34.6,34.1,36.5,35.7
109,809.3816134929657,34.7,34.0,36.5,35.9
110,811.3905591964722,34.7,34.1,36.4,36.0
111,812.3948736190796,34.7,34.1,36.6,36.0
112,819.4254133701324,34.7,34.2,36.5,36.2
