,Time,L1Inv,L2Inv,Batt,CtrlBoard
0,5.88367223739624,24.3,23.1,1000.0,23.3
1,6.888200998306274,24.6,23.2,1000.0,23.2
2,15.927773714065552,26.1,24.0,1000.0,23.2
3,35.01203489303589,27.6,25.2,1000.0,23.3
4,37.02082395553589,27.6,25.2,1000.0,23.3
5,38.02524733543396,27.7,25.2,1000.0,23.3
6,43.047099113464355,27.9,25.4,1000.0,23.3
7,45.05602741241455,27.9,25.5,1000.0,23.3
8,50.077932357788086,28.2,25.7,1000.0,23.2
9,90.25382494926453,29.3,26.7,1000.0,23.5
10,94.2713634967804,29.4,26.8,1000.0,23.5
11,113.35507130622864,29.8,27.2,1000.0,23.6
12,130.4302797317505,30.0,27.4,1000.0,23.7
13,131.43428421020508,30.1,27.6,1000.0,23.8
14,132.43857884407043,30.2,27.4,1000.0,23.7
15,148.50912976264954,30.3,27.7,1000.0,23.8
16,161.56693696975708,30.5,27.8,1000.0,24.0
17,167.5928771495819,30.7,28.0,1000.0,24.0
18,175.62876272201538,30.8,28.1,1000.0,24.0
19,184.66829252243042,30.9,28.2,1000.0,24.1
20,198.72999668121338,31.0,28.4,1000.0,24.1
21,199.73427438735962,31.0,28.4,1000.0,24.2
22,214.80045866966248,31.3,28.6,1000.0,24.2
23,254.9765031337738,31.7,29.1,1000.0,24.5
24,256.9847695827484,31.7,29.1,1000.0,24.6
25,265.0205135345459,31.8,29.2,1000.0,24.6
26,270.04232716560364,31.8,29.5,1000.0,24.9
27,291.1346354484558,32.0,29.3,1000.0,24.7
28,298.16586685180664,32.1,29.6,1000.0,24.8
29,300.1742625236511,32.1,29.5,1000.0,24.8
30,311.2237389087677,32.3,29.7,1000.0,24.9
31,332.3164384365082,32.5,29.9,1000.0,25.0
32,339.34719252586365,32.6,30.0,1000.0,25.1
33,341.3558247089386,32.6,29.9,1000.0,25.1
34,344.36874294281006,32.6,30.0,1000.0,25.1
35,361.4436538219452,32.7,30.2,1000.0,25.2
36,363.45309352874756,32.8,30.1,1000.0,25.3
37,364.4572262763977,32.8,30.3,1000.0,25.2
38,367.4701886177063,32.8,30.1,1000.0,25.3
39,370.4832172393799,32.8,30.3,1000.0,25.3
40,378.5189435482025,32.9,30.3,1000.0,25.4
41,389.5672562122345,33.0,30.6,1000.0,25.3
42,396.5976719856262,33.1,30.5,1000.0,25.4
43,401.6200695037842,33.0,30.4,1000.0,25.4
44,407.64615058898926,33.1,30.6,1000.0,25.6
45,408.65120029449463,33.1,30.6,1000.0,25.5
46,415.68146276474,33.2,30.7,1000.0,25.5
47,421.70815348625183,33.2,30.8,1000.0,25.6
48,422.7119927406311,33.3,30.7,1000.0,25.6
49,430.747234582901,33.3,30.7,1000.0,25.6
50,431.7518103122711,33.3,30.8,1000.0,25.6
51,435.76930356025696,33.4,30.9,1000.0,25.7
52,438.78287649154663,33.4,30.9,1000.0,25.6
53,454.85321736335754,33.6,31.1,1000.0,25.7
54,460.879606962204,33.6,31.1,1000.0,25.8
55,462.8879668712616,33.6,31.0,1000.0,25.9
56,463.89325284957886,33.6,31.0,1000.0,25.9
57,477.95415472984314,33.7,31.2,1000.0,25.8
58,479.9632351398468,33.7,31.2,1000.0,25.9
59,539.224191904068,34.2,31.7,1000.0,26.2
60,549.2680284976959,34.3,31.7,1000.0,26.2
61,552.2805063724518,34.3,31.7,1000.0,26.2
62,562.3241901397705,34.3,31.9,1000.0,26.2
63,569.3551716804504,34.4,31.9,1000.0,26.3
64,590.4447495937347,34.5,32.1,1000.0,26.4
65,603.500598192215,34.6,32.1,1000.0,26.4
66,612.5394802093506,34.7,32.2,1000.0,26.5
67,618.5652918815613,34.7,32.2,1000.0,26.5
68,626.5995750427246,34.8,32.3,1000.0,26.6
69,629.6133515834808,34.8,32.2,1000.0,26.5
70,646.6860966682434,34.9,32.4,1000.0,26.6
71,649.6994218826294,34.9,32.4,1000.0,26.7
72,661.7505996227264,35.0,32.4,1000.0,26.7
73,663.7591724395752,35.0,32.5,1000.0,26.7
74,672.7982358932495,35.1,32.6,1000.0,26.7
75,700.9191007614136,35.3,32.7,1000.0,26.8
76,720.0014276504517,35.4,32.8,1000.0,27.0
77,721.0054512023926,35.3,32.8,1000.0,26.9
78,725.0231018066406,35.3,32.9,1000.0,26.9
79,738.0789458751678,35.4,33.0,1000.0,27.0
80,745.1094663143158,35.5,32.8,1000.0,27.1
81,751.1355018615723,35.5,32.9,1000.0,27.1
82,753.144289970398,35.6,33.0,1000.0,27.2
83,754.148520231247,35.5,33.0,1000.0,27.1
84,755.1534481048584,35.6,33.0,1000.0,27.1
85,779.2565641403198,35.7,33.2,1000.0,27.1
86,780.2613391876221,35.6,33.1,1000.0,27.3
87,790.3049740791321,35.7,33.2,1000.0,27.3
88,791.3084785938263,35.7,33.0,1000.0,27.3
89,815.4133653640747,35.8,33.4,1000.0,27.4
90,823.4473972320557,35.9,33.5,1000.0,27.4
91,827.465039730072,36.0,33.3,1000.0,27.4
92,837.508204460144,35.9,33.3,1000.0,27.4
93,846.547105550766,35.9,33.2,1000.0,27.3
94,848.555997133255,36.0,33.2,1000.0,27.5
95,852.5731196403503,36.0,33.3,1000.0,27.3
96,857.5948212146759,35.9,33.3,1000.0,27.3
97,865.6300449371338,35.9,33.3,1000.0,27.2
98,879.6903350353241,36.0,33.3,1000.0,27.2
99,882.7034707069397,35.8,33.4,1000.0,27.2
100,895.760000705719,36.0,33.4,1000.0,27.1
101,899.7770693302155,36.0,33.3,1000.0,27.2
