,Time,NA1,NA2,L1Link,L2Link
0,22.94954514503479,0.0,0.0,242.0,263.0
1,24.95860195159912,0.0,0.0,243.0,263.0
2,25.962437868118286,0.0,0.0,248.0,258.0
3,32.99308896064758,0.0,0.0,246.0,260.0
4,33.99764060974121,0.0,0.0,244.0,260.0
5,40.0238401889801,0.0,0.0,243.0,261.0
6,41.02826118469238,0.0,0.0,249.0,256.0
7,42.03322386741638,0.0,0.0,241.0,263.0
8,47.0550491809845,0.0,0.0,251.0,255.0
9,62.120503664016724,0.0,0.0,242.0,263.0
10,77.18606638908386,0.0,0.0,243.0,263.0
11,87.23001027107239,0.0,0.0,240.0,265.0
12,96.26985740661621,0.0,0.0,250.0,255.0
13,97.27474188804626,0.0,0.0,243.0,263.0
14,101.29141187667847,0.0,0.0,244.0,261.0
15,106.31330060958862,0.0,0.0,245.0,260.0
16,108.32194590568542,0.0,0.0,244.0,261.0
17,109.32654690742493,0.0,0.0,248.0,258.0
18,137.44932293891907,0.0,0.0,248.0,257.0
19,140.46184659004211,0.0,0.0,245.0,261.0
20,160.549476146698,0.0,0.0,251.0,255.0
21,164.56697177886963,0.0,0.0,250.0,257.0
22,165.57144236564636,0.0,0.0,241.0,264.0
23,176.6193401813507,0.0,0.0,248.0,257.0
24,178.62827014923096,0.0,0.0,246.0,259.0
25,199.72024989128113,0.0,0.0,251.0,254.0
26,236.88212299346924,0.0,0.0,250.0,257.0
27,238.89083456993103,0.0,0.0,251.0,256.0
28,252.95229363441467,0.0,0.0,246.0,260.0
29,262.9965217113495,0.0,0.0,241.0,263.0
30,268.0182809829712,0.0,0.0,251.0,255.0
31,274.04399704933167,0.0,0.0,251.0,254.0
32,279.06605315208435,0.0,0.0,242.0,262.0
33,283.08382391929626,0.0,0.0,243.0,263.0
34,287.10087847709656,0.0,0.0,245.0,261.0
35,299.15332984924316,0.0,0.0,250.0,256.0
36,315.22334718704224,0.0,0.0,250.0,256.0
37,317.23206090927124,0.0,0.0,249.0,257.0
38,338.32467103004456,0.0,0.0,250.0,256.0
39,351.3812520503998,0.0,0.0,242.0,262.0
40,362.4294550418854,0.0,0.0,248.0,257.0
41,368.4560811519623,0.0,0.0,244.0,262.0
42,375.4860339164734,0.0,0.0,250.0,257.0
43,377.4950475692749,0.0,0.0,250.0,256.0
44,389.5473749637604,0.0,0.0,249.0,257.0
45,404.613400220871,0.0,0.0,248.0,258.0
46,406.62179374694824,0.0,0.0,249.0,257.0
47,407.6261308193207,0.0,0.0,242.0,263.0
48,412.6480305194855,0.0,0.0,250.0,255.0
49,414.6568145751953,0.0,0.0,250.0,257.0
50,420.6829442977905,0.0,0.0,250.0,255.0
51,428.7185637950897,0.0,0.0,249.0,256.0
52,436.7530872821808,0.0,0.0,246.0,259.0
53,441.77498841285706,0.0,0.0,247.0,259.0
54,449.8104200363159,0.0,0.0,250.0,256.0
55,460.8585274219513,0.0,0.0,241.0,264.0
56,463.8718891143799,0.0,0.0,249.0,257.0
57,469.8976995944977,0.0,0.0,247.0,258.0
58,494.0033149719238,0.0,0.0,242.0,264.0
59,495.0072691440582,0.0,0.0,250.0,257.0
60,496.01145911216736,0.0,0.0,241.0,263.0
61,497.01582860946655,0.0,0.0,251.0,256.0
62,499.02522015571594,0.0,0.0,251.0,255.0
63,502.0377917289734,0.0,0.0,243.0,263.0
64,510.07286953926086,0.0,0.0,246.0,260.0
65,555.2701683044434,0.0,0.0,249.0,257.0
66,560.2918033599854,0.0,0.0,240.0,264.0
67,571.3400368690491,0.0,0.0,251.0,256.0
68,575.3579919338226,0.0,0.0,249.0,257.0
69,586.4058957099915,0.0,0.0,248.0,259.0
70,588.4158873558044,0.0,0.0,248.0,259.0
71,589.4206373691559,0.0,0.0,244.0,260.0
72,594.4424419403076,0.0,0.0,250.0,257.0
73,604.4863765239716,0.0,0.0,251.0,255.0
74,612.5205965042114,0.0,0.0,250.0,256.0
75,614.5299291610718,0.0,0.0,248.0,257.0
76,617.5426006317139,0.0,0.0,245.0,261.0
77,630.599675655365,0.0,0.0,242.0,263.0
78,632.6083233356476,0.0,0.0,242.0,263.0
79,641.6481449604034,0.0,0.0,250.0,257.0
80,644.6614408493042,0.0,0.0,241.0,263.0
81,650.6872735023499,0.0,0.0,244.0,262.0
82,662.739926815033,0.0,0.0,248.0,258.0
83,678.8098611831665,0.0,0.0,251.0,254.0
84,700.9062941074371,0.0,0.0,242.0,263.0
85,701.9108211994171,0.0,0.0,249.0,257.0
86,705.9291725158691,0.0,0.0,250.0,257.0
87,719.9909906387329,0.0,0.0,250.0,255.0
88,727.0213625431061,0.0,0.0,244.0,262.0
89,736.0606684684753,0.0,0.0,244.0,260.0
90,739.0739047527313,0.0,0.0,249.0,258.0
91,741.0825891494751,0.0,0.0,249.0,257.0
92,751.1266841888428,0.0,0.0,249.0,257.0
93,753.1358060836792,0.0,0.0,250.0,257.0
94,763.1795358657837,0.0,0.0,247.0,258.0
95,777.2405998706818,0.0,0.0,241.0,265.0
96,778.2449107170105,0.0,0.0,251.0,256.0
97,821.4347860813141,0.0,0.0,251.0,255.0
98,838.5094418525696,0.0,0.0,247.0,259.0
99,842.527140378952,0.0,0.0,249.0,258.0
100,851.5664684772491,0.0,0.0,240.0,265.0
101,860.6062574386597,0.0,0.0,251.0,255.0
102,861.610137462616,0.0,0.0,241.0,264.0
103,865.6283254623413,0.0,0.0,244.0,262.0
104,870.6500449180603,0.0,0.0,248.0,258.0
105,895.7595827579498,0.0,0.0,251.0,255.0
